In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods
05-Apr-2017 23:00,06-Apr-2017 00:48,108.0,0.0,0.0,0
06-Apr-2017 00:48,06-Apr-2017 06:45,357.90528361698,0.0,0.0,0
06-Apr-2017 23:00,07-Apr-2017 06:09,429.729928599795,0.0,0.0,0
07-Apr-2017 23:00,08-Apr-2017 06:01,421.909755916397,0.0,0.0,0
08-Apr-2017 23:28,09-Apr-2017 06:00,391.348505333066,0.0,0.0,0
09-Apr-2017 23:02,10-Apr-2017 06:00,418.4,0.0,0.0,0
10-Apr-2017 23:00,11-Apr-2017 06:00,420.243482533097,0.0,0.0,0
11-Apr-2017 23:00,12-Apr-2017 06:09,429.280450000366,0.0,0.0,0
12-Apr-2017 22:56,13-Apr-2017 06:00,423.287507166465,0.0,0.0,0
13-Apr-2017 23:00,14-Apr-2017 06:00,420.266666666667,0.0,0.0,0
14-Apr-2017 23:25,15-Apr-2017 06:27,422.733333333333,0.0,0.0,0
15-Apr-2017 06:30,15-Apr-2017 07:04,33.9310496499141,0.0,0.0,0
15-Apr-2017 23:00,16-Apr-2017 06:00,420.202519217133,0.0,0.0,0
16-Apr-2017 23:00,17-Apr-2017 06:00,420.413988116384,0.0,0.0,0
17-Apr-2017 23:00,18-Apr-2017 06:09,429.272644649943,0.0,0.0,0
18-Apr-2017 23:13,19-Apr-2017 06:09,415.571185416977,0.0,0.0,0
19-Apr-2017 23:00,20-Apr-2017 06:00,420.224061766267,0.0,0.0,0
20-Apr-2017 23:00,21-Apr-2017 06:00,420.284480599562,0.0,0.0,0
21-Apr-2017 23:00,22-Apr-2017 06:00,420.233653933803,0.0,0.0,0
22-Apr-2017 23:00,23-Apr-2017 06:00,419.783659799894,0.0,0.0,0
23-Apr-2017 23:11,24-Apr-2017 06:00,409.24244778355,0.0,0.0,0
24-Apr-2017 23:04,25-Apr-2017 06:00,416.191289966305,0.0,0.0,0
25-Apr-2017 23:00,26-Apr-2017 06:00,420.283911483487,0.0,0.0,0
26-Apr-2017 23:00,27-Apr-2017 06:00,420.229952517152,0.0,0.0,0
27-Apr-2017 23:00,28-Apr-2017 06:00,420.292759733399,0.0,0.0,0
28-Apr-2017 23:50,29-Apr-2017 06:00,370.4,0.0,0.0,0
29-Apr-2017 23:00,30-Apr-2017 06:00,420.6,0.0,0.0,0
30-Apr-2017 23:00,01-May-2017 06:00,420.169955383738,0.0,0.0,0
01-May-2017 23:11,02-May-2017 01:38,147.466666666667,0.0,0.0,0
02-May-2017 02:36,02-May-2017 06:00,203.2,0.0,0.0,0
02-May-2017 23:00,03-May-2017 06:00,420.145994283756,0.0,0.0,0
03-May-2017 23:00,04-May-2017 06:00,420.152928483486,0.0,0.0,0
